3519,Vascular Plant,Allium brevistylum,Shortstyle Onion,
1429,Vascular Plant,Allium burdickii,"White-Stemmed Ramps, Leeks",
4656,Vascular Plant,Allium campanulatum,"Dusky Onion, Sierra Onion",
1430,Vascular Plant,Allium canadense,"Meadow Onion, Wild Garlic",
3520,Vascular Plant,Allium cernuum,Nodding Onion,
1431,Vascular Plant,Allium cernuum var. cernuum,Nodding Onion,
3521,Vascular Plant,Allium geyeri var. tenerum,Bulbil Onion,
4657,Vascular Plant,Allium hyalinum,Glassy Onion,
4658,Vascular Plant,Allium obtusum,"Red Sierra Onion, Red Sierran Onion",
4659,Vascular Plant,Allium obtusum var. conspicuum,Red Sierra Onion,
4660,Vascular Plant,Allium obtusum var. obtusum,"Red Sierra Onion, Red Sierran Onion",
3522,Vascular Plant,Allium schoenoprasum,"Wild Chive, Wild Chives",
3523,Vascular Plant,Allium textile,"Prairie Onion, Textile Onion, Wild Onion",
4661,Vascular Plant,Allium tribracteatum,Threebract Onion,Species of Concern
1432,Vascular Plant,Allium tricoccum,"Ramps, Wild Leeks, Small White Leek",
4662,Vascular Plant,Allium validum,"Pacific Onion, Swamp Onion",
1433,Vascular Plant,Allium vineale,Field Garlic,
4663,Vascular Plant,Allium yosemitense,Yosemite Onion,
5089,Vascular Plant,Allophyllum divaricatum,Purple False Gilyflower,
5090,Vascular Plant,Allophyllum gilioides ssp. gilioides,"Dense False Gilia, Dense False Gilyflower",
5091,Vascular Plant,Allophyllum gilioides ssp. violaceum,"Dense False Gilia, Dense False Gilyflower",
5092,Vascular Plant,Allophyllum integrifolium,"Mountain False Gilia, White False Gilyflower",
5072,Vascular Plant,Allotropa virgata,Sugarstick,
5193,Vascular Plant,Alnus incana ssp. tenuifolia,"Mountain Alder, Speckled Alder, Thinleaf Alder",
5194,Vascular Plant,Alnus rhombifolia,"Rhombie Leaf Alder, White Alder",
2199,Vascular Plant,Alnus serrulata,"Brook-Side Alder, Common Alder",
4356,Vascular Plant,Alopecurus aequalis,"Short Foxtail, Shortawn Foxtail, Short-Awn Meadow-Foxtail",
4357,Vascular Plant,Alopecurus arundinaceus,"Creeping Foxtail, Creeping Meadow Foxtail, Creeping Meadow-Foxtail",
4358,Vascular Plant,Alopecurus borealis,Boreal Alopecurus,
2920,Vascular Plant,Alopecurus carolinianus,"Carolina Foxtail, Tufted Foxtail",
4359,Vascular Plant,Alopecurus pratensis,"Field Meadow-Foxtail, Meadow Foxtail",
3768,Vascular Plant,Alyssum alyssoides,"Pale Alyssum, Pale Madwort, Yellow Alyssum",
3769,Vascular Plant,Alyssum desertorum,"Desert Alyssum, Desert Madwort",
1849,Vascular Plant,Amaranthus albus,"White Amaranthus, White Pigweed",
3839,Vascular Plant,Amaranthus albus,"Pigweed, Pigweed Amaranth, Prostrate Pigweed, Tumble Pigweed, Tumbleweed, White Pigweed",
3840,Vascular Plant,Amaranthus blitoides,"Mat Amaranth, Prostrate Amaranth, Prostrate Pigweed",
4962,Vascular Plant,Amaranthus californicus,"California Amaranth, California Pigweed",
1850,Vascular Plant,Amaranthus hybridus,"Amaranthus, Smooth Amaranth",
1851,Vascular Plant,Amaranthus retroflexus,"Green Amaranthus, Red-Root Amaranth",
3841,Vascular Plant,Amaranthus retroflexus,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
1852,Vascular Plant,Amaranthus spinosus,"Spiny Amaranth, Spiny Amaranthus",
650,Fish,Ambloplites rupestris,Rock Bass,
1051,Nonvascular Plant,Amblystegium serpens,Amblystegium Moss,
1052,Nonvascular Plant,Amblystegium varium,Amblystegium Moss,
1514,Vascular Plant,Ambrosia artemisiifolia,"Annual Ragweed, Common Ragweed",
3556,Vascular Plant,Ambrosia artemisiifolia,"Annual Ragweed, Common Ragweed, Low Ragweed, Ragweed, Roman Wormwood, Short Ragweed, Small Ragweed",
1515,Vascular Plant,Ambrosia bidentata,Lanceleaf Ragweed,
3557,Vascular Plant,Ambrosia psilostachya,"Cuman Ragweed, Perennial Ragweed, Western Ragweed",
1516,Vascular Plant,Ambrosia trifida,"Giant Ragweed, Great Ragweed",
17,Amphibian,Ambystoma maculatum,Spotted Salamander,
66,Amphibian,Ambystoma mavortium melanostictum,Blotched Tiger Salamander,
18,Amphibian,Ambystoma opacum,Marbled Salamander,
19,Amphibian,Ambystoma talpoideum,Mole Salamander,
697,Fish,Ameiurus melas,Black Bullhead,
698,Fish,Ameiurus natalis,Yellow Bullhead,
4528,Vascular Plant,Amelanchier alnifolia var. alnifolia,"Saskatoon Serviceberry, Saskatoon Service-Berry",
4529,Vascular Plant,Amelanchier alnifolia var. pumila,Dwarf Serviceberry,
3247,Vascular Plant,Amelanchier arborea,"Downy Serviceberry, Hairy-Leaf Shadbush",
3248,Vascular Plant,Amelanchier canadensis,Canadian Serviceberry,
3249,Vascular Plant,Amelanchier laevis,"Allegheny Serviceberry, Allegheny Service-Berry",
3250,Vascular Plant,Amelanchier sanguinea,"Roundleaf Shadbush, Round-Leaved Shadbush",
5714,Vascular Plant,Amelanchier utahensis,"Utah Serviceberry, Utah Shadberry, Western Serviceberry",
2502,Vascular Plant,Amianthium muscitoxicum,Fly Poison,
2659,Vascular Plant,Ammannia coccinea,"Ammannia, Tooth-Cup",
187,Bird,Ammodramus henslowii,Henslow's Sparrow,
188,Bird,Ammodramus leconteii,Le Conte's Sparrow,
189,Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
1375,Vascular Plant,Ammoselinum butleri,Butler's Sandparsley,
2090,Vascular Plant,Amorpha fruticosa,"False Indigo, False Indigo-Bush",
2091,Vascular Plant,Amorpha georgiana,Georgia Leadplant,
2092,Vascular Plant,Amorpha glabra,"Smooth False Indigo, Smooth Indigobush",
3450,Vascular Plant,Ampelopsis arborea,"Peppervine, Pepper-Vine",
3451,Vascular Plant,Ampelopsis cordata,Peppervine,
2093,Vascular Plant,Amphicarpaea bracteata,"American Hog-Peanut, Hog-Peanut",
1208,Nonvascular Plant,Amphidium mougeotii,Mougeot's Amphidium Moss,
440,Bird,Amphispiza bilineata,Black-Throated Sparrow,
4856,Vascular Plant,Amsinckia lycopsoides,"Bugloss Fiddleneck, Tarweed Fiddleneck",
3740,Vascular Plant,Amsinckia menziesii,"Menzies' Fiddleneck, Smallflower Fiddleneck, Small-Flower Fiddleneck",
4857,Vascular Plant,Amsinckia menziesii var. intermedia,"Coast Buckthorn, Coast Fiddleneck, Common Fiddleneck, Intermediate Fiddleneck",
4858,Vascular Plant,Amsinckia menziesii var. menziesii,"Menzies' Fiddleneck, Rigid Fiddleneck",
2244,Vascular Plant,Amsonia tabernaemontana var. tabernaemontana,Eastern Bluestar,
1102,Nonvascular Plant,Anacamptodon splachnoides,Anacamptodon Moss,
2071,Vascular Plant,Anagallis arvensis,Scarlet Pimpernel,
5127,Vascular Plant,Anagallis arvensis,"Pimpernel, Scarlet Pimpernel",
2072,Vascular Plant,Anagallis minima,Chaffweed,
3558,Vascular Plant,Anaphalis margaritacea,"Common Pearlyeverlasting, Pearly Everlasting, Pearly-Everlasting, Western Pearly Everlasting, Western Pearlyeverlasting",
96,Bird,Anas acuta,Northern Pintail,
97,Bird,Anas americana,American Wigeon,
98,Bird,Anas clypeata,Northern Shoveler,
99,Bird,Anas crecca,Green-Winged Teal,
356,Bird,Anas cyanoptera,Cinnamon Teal,
100,Bird,Anas discors,Blue-Winged Teal,
357,Bird,Anas penelope,Eurasian Wigeon,
101,Bird,Anas platyrhynchos,Mallard,
102,Bird,Anas rubripes,American Black Duck,
358,Bird,Anas strepera,Gadwall,
1198,Nonvascular Plant,Anastrophyllum helleranum,Heller's Anastrophyllum,
1199,Nonvascular Plant,Anastrophyllum michauxii,Michaux's Anastrophyllum,
1200,Nonvascular Plant,Anastrophyllum minutum,Anastrophyllum,
